"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
859438,"2026-07-10 14:05:20",7,2495,49,296.14,14510.86,"online"
554753,"2026-07-10 14:05:20",20,5190,23,229.74,5284.02,"debit_card"
880563,"2026-07-10 14:05:20",20,4393,23,196.03,4508.69,"online"
491221,"2026-07-10 14:05:20",16,8998,35,254.38,8903.3,"cash"
262391,"2026-07-10 14:05:20",3,3928,34,234.57,7975.38,"debit_card"
100031,"2026-07-10 14:05:20",20,3689,12,244.88,2938.56,"cash"
205322,"2026-07-10 14:05:20",8,9965,38,228.17,8670.46,"cash"
378104,"2026-07-10 14:05:20",17,1385,49,151.02,7399.98,"cash"
740662,"2026-07-10 14:05:20",19,8503,46,258.26,11879.96,"mobile_pay"
126670,"2026-07-10 14:05:20",11,6536,48,8.3,398.4,"credit_card"
822165,"2026-07-10 14:05:20",13,8776,43,53.26,2290.18,"cash"
899225,"2026-07-10 14:05:20",6,8566,36,28.29,1018.44,"credit_card"
348226,"2026-07-10 14:05:20",18,4536,5,165.28,826.4,"debit_card"
435320,"2026-07-10 14:05:20",13,8936,7,265.94,1861.58,"credit_card"
423629,"2026-07-10 14:05:20",17,4257,14,138.59,1940.26,"credit_card"
