transaction_id,timestamp,store_id,product_id,quantity,unit_price,total_amount,payment_method
876782,2026-07-09 12:58,7,9994,9,296.71,2670.39,online
187967,2026-07-09 12:58,2,1918,33,262.59,8665.47,debit_card
577687,2026-07-09 12:58,6,6528,48,299.4,14371.2,debit_card
302567,2026-07-09 12:58,5,4825,13,290.32,3774.16,cash
719799,2026-07-09 12:58,16,4296,8,121.32,970.56,mobile_pay
745632,2026-07-09 12:58,14,5698,17,150.52,2558.84,cash
125790,2026-07-09 12:58,19,2677,6,274.15,1644.9,cash
838713,2026-07-09 12:58,15,5925,43,296.53,12750.79,cash
325163,2026-07-09 12:58,1,9528,22,198.89,4375.58,cash
226402,2026-07-09 12:58,9,1339,50,136.25,6812.5,mobile_pay
970473,2026-07-09 12:58,15,4457,44,76.37,3360.28,credit_card
499670,2026-07-09 12:58,18,2166,10,14.07,140.7,debit_card
119427,2026-07-09 12:58,12,2173,37,170.46,6307.02,debit_card
693838,2026-07-09 12:58,15,5806,17,103.21,1754.57,debit_card
667668,2026-07-09 12:58,8,5790,15,256.74,3851.1,credit_card
