"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
107907,"2026-07-10 14:01:15",2,9798,34,18.15,617.1,"debit_card"
836456,"2026-07-10 14:01:15",7,6889,6,217.26,1303.56,"online"
808843,"2026-07-10 14:01:15",13,3496,44,60.86,2677.84,"credit_card"
727404,"2026-07-10 14:01:15",15,9382,11,276.71,3043.81,"debit_card"
492088,"2026-07-10 14:01:15",12,7692,8,218.04,1744.32,"debit_card"
286197,"2026-07-10 14:01:15",19,1270,32,118.86,3803.52,"mobile_pay"
735906,"2026-07-10 14:01:15",6,4467,35,200.5,7017.5,"mobile_pay"
989937,"2026-07-10 14:01:15",6,2859,42,184.75,7759.5,"mobile_pay"
672706,"2026-07-10 14:01:15",15,6528,1,275.13,275.13,"mobile_pay"
933379,"2026-07-10 14:01:15",16,9277,28,18.99,531.72,"mobile_pay"
734622,"2026-07-10 14:01:15",14,7263,47,147.5,6932.5,"debit_card"
640815,"2026-07-10 14:01:15",2,8789,43,234.88,10099.84,"cash"
429773,"2026-07-10 14:01:15",14,8086,44,15.04,661.76,"debit_card"
179390,"2026-07-10 14:01:15",4,1706,32,178.53,5712.96,"credit_card"
267718,"2026-07-10 14:01:15",19,1883,7,276.91,1938.37,"debit_card"
